duration,avg_speed,height_diff,grnd_dist,tot_dist,angle_var,prev_cluster,annotation
3155,7.6446,76,5.1672,5.8685,0.41116,digesting,flying
2238,9.5228,58,2.1387,3.5418,0.91806,flying,diving
900,7.0523,58,0.93011,1.1074,0.156,diving,diving
1605,11.833,27,1.3809,2.6474,0.38305,diving,diving
1695,11.886,23,1.4322,2.2449,1.2916,diving,diving
2203,10.754,32,0.48125,2.095,0.50449,diving,diving
1221,14.89,26,0.44067,2.9863,1.3065,diving,diving
1819,14.891,13,9.1455,9.687,0.11291,diving,flying
4315,8.9094,60,4.3576,12.919,0.75357,unknown,diving
2781,11.41,40,8.5901,10.874,0.40485,unknown,flying
1507,4.3936,29,2.2642,2.269,0.045786,flying,flying
1668,1.3613,7,1.0768,1.2634,0.29741,flying,digesting
2258,8.7918,135,10.625,11.121,0.41115,digesting,flying
1359,0.21882,8,0.004768,0.012351,0.65573,flying,digesting
2547,0.47119,24,0.99997,1.0621,0.75374,digesting,digesting
