duration,avgSpeed,heightDiff,grndDist,totDist,angleVar,distDiff,resolution,fx,fy,fz,previousCluster,annotation
1927,24.736,85.872,4.3061,4.8003,0.23331,0.49415,0.21796,6.5625,0,6.5625,'floating','flying'
6155,54.459,38.813,26.959,34.906,0.15264,7.9469,0.20471,0,0,1.25,'flying','flying'
1355,7.3706,4.0821,0.99846,1.1704,2.237,0.1719,0.48708,0,0,1.875,'unknown','floating'
2160,31.621,77.906,2.3771,4.715,2.5842,2.3378,1.4722,0,0,1.25,'floating','diving'
2288,0.9552,63.08,0.007608,0.0336,2.4468,0.025992,0.5507,0,0,1.25,'diving','floating'
923,3.3755,2.9327,0.195,0.20062,0.14121,0.005624,0.26002,0,0,1.25,'unknown','floating'
2285,29.457,5.9641,0.62066,3.037,0.23701,2.4164,0.21007,0,0,2.1875,'floating','floating'
3358,5.3625,40.05,0.92757,1.9189,1.3601,0.99132,0.73258,0,0,1.25,'floating','floating'
952,22.641,25.902,1.4956,1.9841,0.70774,0.48844,1.8277,0,0,1.25,'floating','diving'
3886,3.1354,58.444,0.4522,1.0865,2.0865,0.63426,1.1426,0,0,0,'diving','floating'
801,35.212,27.647,1.7103,1.7184,0.29724,0.008052,0.59925,0,0,1.25,'floating','flying'
3104,50.542,11.034,15.216,16.365,0.33183,1.1494,3.3247,3.4375,0,7.1875,'flying','flying'
1509,43.56,43.45,7.7664,8.0102,0.092171,0.24374,0.23857,3.125,0,4.375,'unknown','flying'
1206,26.956,0.24731,2.7877,4.1178,0.40435,1.3301,0.24876,6.875,0,6.875,'flying','flying'
2142,28.608,2.755,1.9453,5.2728,0.20337,3.3275,0.22409,3.125,0,6.25,'flying','diving'
1218,37.975,6.9984,4.4595,4.5553,0.092876,0.095794,0.2463,3.125,0,6.25,'diving','floating'
5259,33.634,2.6014,16.338,17.604,0.079563,1.2663,0.20536,3.125,0,6.5625,'floating','flying'
2801,44.852,0.1587,13.004,13.741,0.079479,0.73633,0.21421,3.125,0,6.25,'unknown','flying'
1523,41.567,18.067,5.8821,6.1501,0.084539,0.26805,0.23638,3.125,0,5.9375,'flying','flying'
4722,61.821,57.73,26.305,30.387,0.84392,4.082,0.35578,3.125,0,3.125,'flying','flying'
1838,35.505,31.974,1.3559,4.8018,1.2838,3.446,1.6649,3.125,0,6.5625,'flying','diving'
2049,42.427,29.919,3.7845,5.9904,1.0854,2.2059,1.9619,3.125,0,6.5625,'diving','diving'
2307,5.1441,0.66511,0.002806,0.25394,1.7466,0.25113,1.7425,0,0,1.25,'diving','floating'
1000,37.37,56.124,0.47607,4.3798,0.61671,3.9038,2.34,3.4375,0,6.875,'floating','diving'
2224,2.7514,68.599,0.047846,0.14974,3.2341,0.10189,1.268,0,0,1.25,'diving','floating'
1165,36.532,11.511,1.5131,3.9738,1.1547,2.4608,2.8841,3.125,0,6.25,'floating','floating'
943,41.785,2.3791,1.5053,3.2901,1.0156,1.7848,3.4995,3.4375,0,6.875,'floating','floating'
1102,41.116,21.729,2.1718,4.131,1.032,1.9592,2.6679,0,0,1.25,'floating','floating'
2800,31.185,0.71783,2.1734,7.0079,1.1108,4.8345,2.1,8.125,0,9.375,'floating','floating'
1487,44.212,25.969,4.0815,5.8888,1.0992,1.8073,2.6227,0,0,5.9375,'floating','floating'
3505,2.4102,125.81,0.002284,0.37903,1.9063,0.37675,1.9857,0,0,1.25,'floating','floating'
7320,8.7255,151.18,0.27877,0.7308,2.703,0.45203,0.45902,0,0,1.25,'floating','floating'
3107,62.371,19.471,18.352,20.099,0.11259,1.7467,0.21242,?,?,?,'floating','flying'
2182,36.138,6.6089,8.2452,8.3127,0.082149,0.067479,0.21998,?,?,?,'flying','flying'
3024,49.436,12.179,13.939,15.701,0.064265,1.7621,0.21825,?,?,?,'flying','flying'
1440,37.509,29.01,5.9017,5.9708,0.3552,0.069063,2.375,3.125,0,3.75,'unknown','flying'
2810,25.194,3.8776,4.5968,6.0594,1.1974,1.4627,2.306,6.5625,0,6.5625,'flying','diving'
14000,18.186,9.5305,2.2919,22.536,0.8924,20.244,1.2686,0,0,1.25,'diving','diving'
1244,32.755,1.9443,4.0904,4.1246,0.067409,0.034182,0.24116,3.125,0,6.25,'diving','flying'
4626,20.489,12.856,4.0731,9.7328,0.13129,5.6597,0.20752,0,0,1.25,'flying','flying'
4900,37.611,4.1217,16.917,19.708,0.15688,2.7908,0.20816,3.125,0,6.25,'flying','flying'
5238,38.695,22.282,12.173,19.764,0.70517,7.5912,2.9668,3.125,0,6.25,'unknown','flying'
3568,17.088,66.393,3.2299,6.2469,0.91036,3.017,1.5471,0,2.8125,6.5625,'flying','flying'
3291,46.034,4.9997,9.7436,11.198,0.879,1.4542,1.5132,3.4375,0,6.5625,'flying','flying'
1249,54.446,29.009,6.1753,6.3626,0.1708,0.1873,0.43235,3.125,0,6.25,'unknown','flying'
1411,30.58,43.838,2.5762,2.9215,1.5763,0.34528,0.46775,3.125,0,6.25,'flying','flying'
754,46.992,137.96,1.3142,1.3887,1.0618,0.074406,0.47745,6.5625,0,6.5625,'flying','flying'
1510,50.905,0.20274,1.2259,3.4106,0.25451,2.1847,0.23841,3.125,0,6.5625,'flying','diving'
2346,27.182,88.131,1.6997,2.8661,1.1024,1.1664,0.35806,3.125,0,6.25,'diving','diving'
3701,27.9,17.282,3.8863,7.8083,1.4159,3.922,0.4053,6.25,0,6.25,'diving','diving'
1432,45.023,20.217,5.7765,6.9745,1.0979,1.1981,1.4665,6.5625,0,6.5625,'diving','flying'
1312,46.316,7.467,2.8744,5.3744,0.86801,2.5,3.5213,3.125,0,4.0625,'unknown','flying'
1793,23.064,3.9844,1.6469,2.6279,1.1016,0.98099,3.246,6.875,0,6.875,'flying','flying'
2578,13.457,0.25703,2.1412,2.2378,3.4405,0.096601,1.3033,0,0,1.25,'flying','flying'
2916,34.969,41.714,10.121,10.638,0.10925,0.51711,0.20576,?,?,?,'flying','flying'
3712,3.4128,0.78535,1.0044,1.0234,0.15876,0.019034,0.21013,?,?,?,'unknown','floating'
2398,51.086,43.866,9.7849,9.8362,0.28603,0.051368,0.22519,?,?,?,'badCluster','flying'
2141,11.331,5.7158,1.702,1.7396,0.21194,0.037659,0.22419,0,0,3.75,'unknown','flying'
3964,34.934,19.574,6.6145,11.539,0.16382,4.9249,0.21191,3.125,0,6.25,'flying','diving'
1277,46.666,24.373,2.1368,2.8451,0.24176,0.70834,0.23493,3.125,0,6.25,'diving','flying'
6395,37.851,71.753,11.484,19.379,1.1746,7.8956,1.3604,3.125,0,3.125,'flying','flying'
1203,45.809,14.61,5.5307,5.8019,0.24146,0.27118,2.3441,3.125,0,3.125,'flying','flying'
1354,38.456,11.498,3.3325,4.5031,0.96312,1.1706,2.3929,3.125,0,3.125,'flying','diving'
3161,3.7055,7.6076,1.7726,1.8667,1.2995,0.094049,1.4046,0,0,1.25,'diving','floating'
1486,15.925,35.519,2.4966,2.4974,0.43796,0.00083,0.96904,0,0,0,'floating','flying'
2355,4.1645,20.19,0.92343,0.92771,0.99156,0.004288,1.4777,0,0,1.25,'flying','floating'
1127,4.4505,6.537,0.46651,0.46823,0.5367,0.001727,2.2893,0,0,1.25,'floating','floating'
1533,4.0175,0.23079,0.58773,0.58883,0.91339,0.001097,0.43053,0,0,2.1875,'floating','floating'
3493,57.857,4.7423,21.714,22.085,0.4736,0.37066,1.6662,6.5625,0,6.5625,'floating','flying'
4779,64.732,54.005,32.452,35.91,0.53842,3.4582,0.57753,3.125,0,6.25,'unknown','flying'
1796,52.796,86.922,9.3216,10.536,0.50827,1.2143,2.2049,3.125,0,6.25,'flying','flying'
3634,39.911,155.57,8.2072,14.737,0.67056,6.5297,2.295,3.125,0,6.25,'flying','diving'
2881,2.6184,31.979,0.187,0.30572,3.2099,0.11872,0.81222,0,0,1.25,'diving','floating'
2186,38.008,80.548,8.3321,9.1805,0.57892,0.84846,0.63129,3.125,0,3.125,'floating','flying'
2948,3.1247,12.572,1.1513,1.2347,1.5396,0.083415,1.4654,0,0,1.25,'flying','floating'
3404,57.419,46.162,13.889,19.577,0.45828,5.6886,3.1551,3.125,0,6.25,'floating','flying'
1168,25.096,26.295,3.8894,4.4166,1.4822,0.52718,1.2842,3.125,0,6.25,'flying','flying'
1981,4.7368,20.57,0.78364,0.84612,0.96404,0.062482,1.1509,0,0,1.25,'flying','floating'
2342,58.474,159.16,9.7851,12.861,0.4554,3.0756,1.614,3.125,0,6.25,'floating','flying'
3587,30.123,85.076,10.761,11.004,0.14274,0.24287,1.7229,0,0,1.25,'flying','flying'
1425,53.408,181.61,5.8079,7.7515,0.71277,1.9437,0.58947,3.125,0,6.25,'flying','flying'
2263,1.8382,82.345,0.007347,0.1055,3.2807,0.098153,0.60981,0,0,1.25,'unknown','floating'
3653,3.5172,79.045,0.98651,1.0557,1.7518,0.069154,0.41062,0,0,1.25,'floating','floating'
3648,14.852,0.40545,2.4054,4.3789,0.16222,1.9735,0.21382,0,0,1.25,'flying','flying'
1216,5.041,4.414,0.51247,0.51319,0.068321,0.000727,0.24671,0,0,1.25,'floating','floating'
1493,29.105,2.0166,1.5789,1.5903,0.31893,0.011408,0.24113,3.75,8.75,7.5,'floating','flying'
3666,3.3606,0.23932,1.263,1.3468,0.29345,0.083796,0.21277,0,0,1.25,'unknown','floating'
5179,3.181,5.5584,0.69623,1.0584,0.27756,0.36213,0.20853,?,?,?,'unknown','floating'
2447,5.5176,10.832,0.85401,1.0423,0.099965,0.18831,0.22068,?,?,?,'unknown','floating'
2369,37.102,39.427,6.9391,8.0106,0.2758,1.0714,0.22794,?,?,?,'unknown','diving'
2994,12.536,4.6109,1.2785,1.5412,0.21071,0.26266,0.22044,3.125,0,6.25,'unknown','flying'
2131,33.047,15.844,2.8755,4.4169,0.25886,1.5415,0.22525,0,0,0,'unknown','diving'
1512,38.665,1.9222,5.9428,6.082,0.2709,0.13921,0.2381,0,3.125,3.125,'diving','flying'
1247,66.261,173.54,8.8493,9.1546,0.46878,0.30533,1.9727,3.125,3.125,6.25,'unknown','flying'
1306,4.2573,7.09,0.60279,0.6031,0.4588,0.000304,0.59724,0,0,1.25,'flying','floating'
2390,39.709,3.42,8.8066,9.5729,0.55992,0.76638,1.4059,0,0,3.75,'floating','flying'
1500,48.749,42.865,7.0602,7.7195,0.13278,0.65927,0.24,0,3.125,6.25,'unknown','flying'
2960,3.1589,11.829,0.71732,0.91373,0.14287,0.1964,0.22297,0,0,1.25,'flying','floating'
1494,33.293,2.8242,2.8067,4.0609,0.26468,1.2542,0.24096,6.5625,3.125,6.5625,'floating','flying'
1573,57.52,14.354,4.385,4.8402,0.21718,0.45525,0.22886,0,3.125,6.25,'flying','flying'
2009,42.025,5.4469,0.46536,1.8278,0.40809,1.3624,0.20906,0,3.125,6.5625,'flying','flying'
3519,42.212,291.14,1.3043,10.199,2.4039,8.895,1.1253,0,3.125,6.25,'flying','diving'
1409,36.139,3.3705,1.3264,4.1087,1.6738,2.7823,2.2569,0,0,1.25,'diving','diving'
4816,36.432,36.706,5.2984,13.546,1.7692,8.2481,1.3704,0,4.375,4.375,'diving','diving'
1408,34.592,4.9257,1.9269,4.1548,0.92546,2.2279,2.3864,3.125,3.125,6.25,'diving','flying'
1648,34.552,8.9063,4.1779,5.4618,0.83559,1.2838,3.0583,3.125,3.125,6.25,'flying','flying'
1103,28.993,40.089,2.1862,3.3054,1.0798,1.1192,3.155,3.125,3.125,6.25,'flying','flying'
8400,31.566,69.572,5.9824,18.925,2.0542,12.942,1.8357,3.125,3.125,6.5625,'flying','diving'
